Paper ID,Type,Limit,Site,Lat,Long,Certainty
194,Point,,5,40,2.763,2
109,Point,,5,39.968,1.464,2
207,Point,,2,39.951,148.079,1
114,Point,,13,39.941,-144.514,1
83,Point,,3,39.696,19.411,1
143,Point,,18,39.661,-138.4,2
143,Point,,66,39.661,-155.086,2
204,Point,,18,39.623,9.678,1
204,Point,,30,39.623,9.678,1
194,Point,,2,39.594,2.25,2
115,Point,,3,39.524,-155.419,1
999,Point,,BF-249,39.517,-123.78,1
207,Point,,1,39.481,147.17,1
999,Point,,BF-14,39.461,-123.809,1
143,Point,,1,39.458,-144.773,2
143,Point,,4,39.458,-132.955,2
143,Point,,67,39.458,-145.356,2
143,Point,,68,39.458,-141.254,2
143,Point,,70,39.458,-133.048,2
83,Point,,2,39.433,19.812,1
109,Point,,24,39.404,4.856,2
180,Point,,2,39.382,142.219,1
204,Point,,17,39.377,9.701,1
204,Point,,29,39.377,9.701,1
194,Point,,3,39.317,3.276,2
143,Point,,2,39.254,-140.909,2
143,Point,,3,39.254,-135.455,2
143,Point,,19,39.254,-136.343,2
143,Point,,69,39.254,-135.328,2
204,Point,,7,39.24,8.277,1
204,Point,,19,39.24,8.277,1
180,Point,,1,39.217,142.134,1
194,Point,,1,39.217,1.875,2
83,Point,,1,39.197,19.743,1
204,Point,,13,39.121,9.392,1
204,Point,,25,39.121,9.392,1
204,Point,,8,39.117,8.131,1
204,Point,,20,39.117,8.131,1
204,Point,,14,39.104,9.426,1
204,Point,,26,39.104,9.426,1
204,Point,,15,39.091,9.46,1
204,Point,,27,39.091,9.46,1
204,Point,,16,39.07,9.493,1
204,Point,,28,39.07,9.493,1
114,Point,,3,39.05,-156.943,1
169,Point,,1,39.001,117.708,1
204,Point,,9,38.998,8.125,1
204,Point,,21,38.998,8.125,1
169,Point,,7,38.986,117.753,1
169,Point,,2,38.975,117.724,1
169,Point,,6,38.966,117.819,1
169,Point,,8,38.962,117.736,1
169,Point,,3,38.959,117.766,1
201,Point,,35,38.947,-126.126,2
169,Point,,4,38.944,117.829,1
169,Point,,5,38.928,117.891,1
109,Point,,29,38.869,12.438,2
143,Point,,72,38.847,-127.123,2
109,Point,,4,38.84,0.766,2
204,Point,,10,38.836,8.462,1
204,Point,,22,38.836,8.462,1
204,Point,,12,38.742,9.095,1
204,Point,,24,38.742,9.095,1
201,Point,,30,38.698,-123.834,2
201,Point,,34,38.698,-126.126,2
204,Point,,11,38.695,8.49,1
204,Point,,23,38.695,8.49,1
143,Point,,5,38.644,-126.591,2
143,Point,,91,38.644,-135.886,2
143,Point,,93,38.644,-136.8,2
115,Point,,7,38.571,-135.587,1
102,Point,,32,38.549,-28.963,1
102,Point,,31,38.542,-28.97,1
102,Point,,33,38.541,-29.039,1
102,Point,,30,38.538,-28.961,1
102,Point,,29,38.532,-28.977,1
102,Point,,3,38.529,-29.018,1
102,Point,,4,38.528,-29.006,1
102,Point,,10,38.528,-29.006,1
102,Point,,1,38.527,-29.025,1
102,Point,,2,38.527,-29.023,1
102,Point,,28,38.526,-28.982,1
102,Point,,5,38.525,-29.019,1
102,Point,,11,38.525,-29.004,1
102,Point,,27,38.525,-28.983,1
102,Point,,12,38.524,-28.999,1
102,Point,,25,38.524,-28.984,1
102,Point,,26,38.524,-28.984,1
102,Point,,6,38.523,-29.016,1
102,Point,,8,38.523,-29.012,1
102,Point,,9,38.523,-29.008,1
102,Point,,13,38.523,-28.991,1
102,Point,,7,38.522,-29.015,1
102,Point,,24,38.522,-28.985,1
102,Point,,14,38.52,-28.996,1
102,Point,,15,38.519,-28.994,1
102,Point,,23,38.518,-28.982,1
102,Point,,22,38.517,-28.985,1
102,Point,,16,38.516,-28.995,1
102,Point,,21,38.516,-28.986,1
102,Point,,20,38.515,-28.986,1
102,Point,,17,38.513,-28.98,1
102,Point,,18,38.513,-28.976,1
102,Point,,19,38.512,-28.975,1
999,Point,,BF-15,38.512,-123.245,1
109,Point,,26,38.474,5.255,2
105,Point,,40,38.45,14.917,1
105,Point,,41,38.45,14.917,1
105,Point,,42,38.45,14.917,1
143,Point,,20,38.441,-137.486,2
201,Point,,33,38.366,-124.704,2
109,Point,,3,38.361,0.417,2
999,Point,,BF-504,38.353,-123.067,1
202,Point,,6,38.333,21.625806,2
999,Point,,BF-5,38.3,-123.1,1
201,Point,,32,38.283,-124.545,2
209,Point,,7,38.279,15.231,2
209,Point,,8,38.279,15.246,2
209,Point,,6,38.277,15.221,2
209,Point,,5,38.271,15.219,2
209,Point,,9,38.268,15.252,2
209,Point,,3,38.266,15.218,2
209,Point,,4,38.262,15.208,2
209,Point,,2,38.26,15.226,2
209,Point,,10,38.257,15.255,2
209,Point,,1,38.252,15.226,2
209,Point,,11,38.25,15.256,2
209,Point,,12,38.245,15.256,2
143,Point,,94,38.237,-137.486,2
109,Point,,30,38.221,13.935,2
201,Point,,31,38.199,-124.229,2
202,Point,,5,38.095,21.2129032,2
143,Point,,21,38.034,-138.4,2
143,Point,,95,38.034,-138.857,2
115,Point,,8,37.937,-136.983,1
112,Point,,4,37.888,21.253,1
202,Point,,2,37.857,-0.4645161,2
105,Point,,22,37.85,15.3,1
105,Point,,23,37.85,15.3,1
105,Point,,24,37.85,15.3,1
105,Point,,25,37.85,15.3,1
105,Point,,26,37.85,15.3,1
105,Point,,27,37.85,15.3,1
105,Point,,28,37.85,15.3,1
143,Point,,71,37.831,-129.402,2
193,Point,,1,37.806,23.113,2
999,Point,,BF-382,37.742,-122.509,1
151,Point,,7,37.733,0.266,1
999,Point,,BF-240,37.674,-122.496,1
151,Point,,8,37.654,-0.355,1
143,Point,,22,37.627,-139.314,2
143,Point,,23,37.627,-139.543,2
112,Point,,1,37.614,-0.578,1
109,Point,,27,37.544,3.858,2
151,Point,,9,37.45,-0.694,1
109,Point,,2,37.432,-0.88,2
109,Point,,28,37.432,7.201,2
202,Point,,1,37.429,-0.9806452,2
143,Point,,6,37.424,-129.773,2
143,Point,,96,37.424,-139.771,2
151,Point,,10,37.385,-0.795,1
152,Point,,1,37.333,-9.229,1
149,Point,,3,37.212,-7.074,1
99,Point,,1,37.173,-76.182,2
94,Point,,1,37.085,14.057,1
94,Point,,3,37.085,14.136,1
94,Point,,2,37.067,14.087,1
94,Point,,4,37.067,14.186,1
105,Point,,31,37.067,15.283,1
105,Point,,33,37.067,15.283,1
105,Point,,34,37.067,15.283,1
105,Point,,35,37.067,15.283,1
105,Point,,38,37.067,15.283,1
105,Point,,39,37.067,15.283,1
105,Point,,17,37.05,15.283,1
105,Point,,18,37.05,15.283,1
105,Point,,19,37.05,15.267,1
105,Point,,20,37.05,15.267,1
105,Point,,21,37.05,15.267,1
105,Point,,32,37.05,15.267,1
105,Point,,36,37.05,15.267,1
105,Point,,37,37.05,15.267,1
94,Point,,5,37.048,14.191,1
226,Point,,3,37.012,-8.93,1
226,Point,,2,37.009,-7.998,1
94,Point,,6,36.964,14.3,1
94,Point,,7,36.939,14.385,1
94,Point,,8,36.873,14.345,1
94,Point,,9,36.867,14.4,1
94,Point,,10,36.848,14.409,1
94,Point,,11,36.824,14.444,1
143,Point,,24,36.814,-140,2
143,Point,,29,36.814,-125.143,2
94,Point,,12,36.794,14.459,1
